,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
75,299,POST_TEST,611.833333333333,0.986666666666667,0.88,0.573333333333333,40.72,56.8695652173913,0.6,1,0.875,0.875,0.875,0.6875,0.25,0.95,0.95,0.75,0.7,0.45,0.75,0.583333333333333,0.75,0.5,0.333333333333333
76,300,PRE_TEST,469.066666666667,0.773333333333333,0.666666666666667,0.493333333333333,231.422222222222,-135.52,0.4,0.45,0.9375,0.875,0.625,0.6875,0.75,0.75,0.7,0.7,0.25,0.3,0.416666666666667,0.416666666666667,0.333333333333333,0,0
77,300,POST_TEST,476.111111111111,0.786666666666667,0.666666666666667,0.573333333333333,335.357142857143,217.907407407407,0.85,0.55,0.6875,0.375,0.5625,0.5,0.1875,0.8,0.5,0.35,0.3,0.05,0.75,0.5,0.083333333333333,0.083333333333333,0
78,301,PRE_TEST,682,0.76,0.506666666666667,0.426666666666667,-14.4313725490196,284.4,0.542857142857143,0.4,0.5625,0.625,1,0.75,0.125,0.3,0.15,0.1,0.15,0.15,0.75,0.5,0.416666666666667,0,0
79,301,POST_TEST,551,0.893333333333333,0.68,0.6,208.369565217391,79.4693877551021,0.8,1,0.875,0.8125,0.875,0.875,0.5625,0.45,0.15,0.1,0.1,0,0.583333333333333,0.5,0.083333333333333,0,0
80,302,PRE_TEST,586.888888888889,0.986666666666667,0.96,0.693333333333333,3.46153846153845,44.9090909090909,0.657142857142857,0.2,0.875,0.9375,0.875,0.9375,0.6875,1,0.8,0.95,0.75,0.65,1,1,0.916666666666667,0.833333333333333,0.583333333333333
81,302,POST_TEST,582.166666666667,1,0.893333333333333,0.72,53.6041666666666,27.4166666666667,0.771428571428571,0.4,1,0.9375,1,0.8125,0.625,1,0.95,0.95,0.7,0.85,0.916666666666667,0.916666666666667,0.833333333333333,1,0.583333333333333
82,303,PRE_TEST,589.444444444445,0.986666666666667,0.706666666666667,0.573333333333333,-6.8125,97.8541666666667,0.5,0.55,0.75,0.8125,0.8125,0.6875,0.5,0.9,0.65,0.6,0.45,0.35,0.833333333333333,0.833333333333333,0.333333333333333,0,0.083333333333333
83,303,POST_TEST,550.277777777778,0.946666666666667,0.666666666666667,0.613333333333333,56.2444444444444,-9.86274509803917,0.75,0.65,0.625,0.75,0.875,0.8125,0.5,0.9,0.9,0.65,0.35,0.45,0.833333333333333,0.666666666666667,0.583333333333333,0.166666666666667,0.083333333333333
84,304,PRE_TEST,685.833333333333,0.96,0.706666666666667,0.546666666666667,191.106382978723,24.5102040816327,0.828571428571429,0.6,0.375,0.75,0.875,0.875,0.375,0.95,0.8,0.75,0.5,0.35,0.75,0.5,0.083333333333333,0.166666666666667,0
85,304,POST_TEST,575.058823529412,0.986666666666667,0.666666666666667,0.52,114.893617021277,47.2448979591837,0.857142857142857,0.6,0.8125,0.8125,0.9375,0.9375,0.5625,1,0.95,0.8,0.55,0.35,0.666666666666667,0.583333333333333,0.25,0.5,0
86,306,PRE_TEST,532.352941176471,0.96,0.693333333333333,0.586666666666667,-37.6938775510204,29.7659574468086,0.7,0.55,0.3125,0.9375,0.8125,0.875,0.5625,0.7,0.45,0.15,0.1,0.1,0.083333333333333,0,0,0,0
87,306,POST_TEST,542.117647058824,0.96,0.653333333333333,0.56,103.755102040816,163.893617021277,0.85,0.55,0.6875,0.75,0.75,0.75,0.3125,0.35,0.5,0.5,0.45,0.1,0.416666666666667,0.416666666666667,0.25,0,0.166666666666667
88,307,PRE_TEST,418.777777777778,0.826666666666667,0.64,0.506666666666667,107.777777777778,-11.7647058823529,0.685714285714286,0.8,0.375,0.6875,0.5,0.625,0.625,0.35,0.6,0.55,0.25,0.1,0.833333333333333,0.75,0.166666666666667,0,0
